Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Intel,Core i5-11400F,Rocket Lake,6 / 12,2.6 to 4.4 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021"
Intel,Core i5-11400T,Rocket Lake,6 / 12,1.3 to 3.7 GHz,Socket 1200,14 nm,12MB,35 W,"Mar 16th, 2021"
Intel,Core i5-11500,Rocket Lake,6 / 12,2.7 to 4.6 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021"
Intel,Core i5-11500T,Rocket Lake,6 / 12,1.5 to 3.9 GHz,Socket 1200,14 nm,12MB,35 W,"Mar 16th, 2021"
Intel,Core i5-11600,Rocket Lake,6 / 12,2.8 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021"
Intel,Core i5-11600K,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,"Mar 16th, 2021"
Intel,Core i5-11600KF,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,"Mar 16th, 2021"
Intel,Core i5-11600T,Rocket Lake,6 / 12,1.7 to 4.1 GHz,Socket 1200,14 nm,12MB,35 W,"Mar 16th, 2021"
Intel,Core i5-12600K,Alder Lake,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,"Nov 4th, 2021"
Intel,Core i5-12600KF,Alder Lake,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,"Nov 4th, 2021"
Intel,Core i7-11700,Rocket Lake,8 / 16,2.5 to 4.9 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021"
Intel,Core i7-11700F,Rocket Lake,8 / 16,2.5 to 4.9 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021"
Intel,Core i7-11700K,Rocket Lake,8 / 16,3.6 to 5 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
Intel,Core i7-11700KF,Rocket Lake,8 / 16,3.6 to 5 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
Intel,Core i7-11700T,Rocket Lake,8 / 16,1.4 to 4.6 GHz,Socket 1200,14 nm,16MB,35 W,"Mar 16th, 2021"
Intel,Core i7-12700K,Alder Lake,12 / 20,3.6 to 5 GHz,Socket 1700,10 nm,25MB,125 W,"Nov 4th, 2021"
Intel,Core i7-12700KF,Alder Lake,12 / 20,3.6 to 5 GHz,Socket 1700,10 nm,25MB,125 W,"Nov 4th, 2021"
